chem,date,delay,price,time
Basic,2023-10-14,8 min Ago,950,12:09:12
Sniper,2023-10-14,8 min Ago,200,12:09:12
Finisher,2023-10-14,8 min Ago,350,12:09:12
Deadeye,2023-10-14,8 min Ago,200,12:09:12
Marksman,2023-10-14,8 min Ago,200,12:09:12
Hawk,2023-10-14,7 min Ago,750,12:09:12
Artist,2023-10-14,7 min Ago,200,12:09:12
Architect,2023-10-14,7 min Ago,200,12:09:12
Powerhouse,2023-10-14,7 min Ago,200,12:09:13
Maestro,2023-10-14,7 min Ago,200,12:09:13
Engine,2023-10-14,7 min Ago,600,12:09:13
Sentinel,2023-10-14,6 min Ago,200,12:09:13
Guardian,2023-10-14,6 min Ago,200,12:09:13
Gladiator,2023-10-14,6 min Ago,200,12:09:13
Backbone,2023-10-14,6 min Ago,200,12:09:13
Anchor,2023-10-14,6 min Ago,3100,12:09:14
Hunter,2023-10-14,5 min Ago,4800,12:09:14
Catalyst,2023-10-14,5 min Ago,1000,12:09:14
Shadow,2023-10-14,5 min Ago,4900,12:09:16
Wall,2023-10-14,5 min Ago,200,12:09:16
Shield,2023-10-14,5 min Ago,200,12:09:16
Cat,2023-10-14,4 min Ago,200,12:09:16
Glove,2023-10-14,4 min Ago,200,12:09:16
GK Basic,2023-10-14,4 min Ago,400,12:09:16
