chem,date,delay,price,time
Basic,2023-10-14,8 min Ago,950,17:09:05
Sniper,2023-10-14,8 min Ago,200,17:09:05
Finisher,2023-10-14,8 min Ago,400,17:09:05
Deadeye,2023-10-14,8 min Ago,200,17:09:05
Marksman,2023-10-14,8 min Ago,200,17:09:05
Hawk,2023-10-14,7 min Ago,750,17:09:05
Artist,2023-10-14,7 min Ago,200,17:09:05
Architect,2023-10-14,7 min Ago,200,17:09:05
Powerhouse,2023-10-14,7 min Ago,200,17:09:05
Maestro,2023-10-14,7 min Ago,200,17:09:05
Engine,2023-10-14,7 min Ago,600,17:09:05
Sentinel,2023-10-14,7 min Ago,200,17:09:05
Guardian,2023-10-14,6 min Ago,200,17:09:05
Gladiator,2023-10-14,6 min Ago,200,17:09:05
Backbone,2023-10-14,6 min Ago,250,17:09:05
Anchor,2023-10-14,5 min Ago,3000,17:09:05
Hunter,2023-10-14,5 min Ago,4800,17:09:05
Catalyst,2023-10-14,4 min Ago,550,17:09:05
Shadow,2023-10-14,4 min Ago,4800,17:09:05
Wall,2023-10-14,4 min Ago,200,17:09:05
Shield,2023-10-14,4 min Ago,200,17:09:05
Cat,2023-10-14,4 min Ago,300,17:09:05
Glove,2023-10-14,4 min Ago,200,17:09:05
GK Basic,2023-10-14,3 min Ago,1000,17:09:05
